Field,Token,Total,Train,Val,Test,Pct
LOCATION,IN_LONDON,360,216,72,72,30.0%
LOCATION,FULLY_REMOTE,300,180,60,60,25.0%
LOCATION,UK_OTHER,240,144,48,48,20.0%
LOCATION,OUTSIDE_UK,180,108,36,36,15.0%
LOCATION,UNKNOWN,120,72,24,24,10.0%
WORK_ARRANGEMENT,HYBRID,480,288,96,96,40.0%
WORK_ARRANGEMENT,REMOTE,300,180,60,60,25.0%
WORK_ARRANGEMENT,IN_OFFICE,300,180,60,60,25.0%
WORK_ARRANGEMENT,UNKNOWN,120,72,24,24,10.0%
SCOPE,IN_SCOPE,840,504,168,168,70.0%
SCOPE,OUT_OF_SCOPE,360,216,72,72,30.0%
TECH,NODE_JS_TS,200,120,40,40,16.7%
TECH,NONE,150,90,30,30,12.5%
TECH,JS_TS,150,90,30,30,12.5%
TECH,NODE,150,90,30,30,12.5%
TECH,JS_TS_AI_ML,120,72,24,24,10.0%
TECH,NODE_JS_TS_AI_ML,120,72,24,24,10.0%
TECH,AI_ML,100,60,20,20,8.3%
TECH,NODE_AI_ML,100,60,20,20,8.3%
COMP,NO_GBP,300,180,60,60,25.0%
COMP,RANGE_75_99K,240,144,48,48,20.0%
COMP,RANGE_55_74K,240,144,48,48,20.0%
COMP,UP_TO_ONLY,180,108,36,36,15.0%
COMP,ABOVE_100K,120,72,24,24,10.0%
COMP,BELOW_45K,60,36,12,12,5.0%
